DAUID,target_priority
35201588,0.6151904274265743
35201589,0.5309130134585623
35201590,0.6127433813302245
35201591,0.5218026220451598
35201592,0.5293387335552848
35201593,0.5751339015337543
35201594,0.6136401073725968
35201595,0.6591747111455509
35201596,0.6407376328839962
35201597,0.7914216057880042
35201598,0.6984188879844652
35201599,0.4436184382872392
35201600,0.7752813049472146
35201601,0.7846772881260627
35201656,0.5890717878847316
35201657,0.8160038114419248
35201658,0.6720513162798161
35201659,0.6697676134176951
35201660,0.646502021157725
35201661,0.5962956256800717
35201662,0.6569921459639658
35201663,0.9459275633860281
35201664,0.8741932442461161
35201665,0.8414748430336101
35201666,0.6636342000517448
35201667,0.8708754150850906
35201670,0.7300077013501459
35201672,0.5161550228060684
35201858,0.7031850831463176
35202027,0.7328202500505263
35202028,0.7474780120078098
35202029,0.5346858378246708
35202004,0.7006290536492739
35202005,0.7519449845985936
35202006,0.7537896648671935
35202007,0.6698488765350679
35202048,0.8683190221032357
35202049,0.7577796044706206
35201790,0.728440548749564
35202030,0.7081323312569031
35202031,0.8214257473689288
35202035,0.9008936756000223
35202036,0.9243244749654671
35202037,0.9170845445482194
35202040,0.9615840258219157
35202042,0.9109292200622551
35202045,0.7275451228454498
35202046,0.9223243276922698
35202047,0.8017597331082649
35201846,0.6003270353191117
35201847,0.6824069972935219
35201848,0.6037383552818367
35201849,0.6950029867913594
35201850,0.5746478492023782
35201791,0.7518466303503643
35201792,0.7563092961313652
35201793,0.7619761057887708
35201802,0.7207378213804524
35201803,0.6786593439495548
35201804,0.5583315266692627
35201805,0.4553181349901086
35201806,0.7042017972195719
35201807,0.7150965567152943
35201816,0.825307675633893
35201817,0.833707477078608
35201818,0.6793757723977154
35202121,0.6812865970854088
35201859,0.49461501240502753
35201851,0.6027381878438778
35201852,0.5666161507896376
35201853,0.7096246795560438
35201854,0.8337351958411122
35201855,0.7668235615964005
35201856,0.8334229537846791
35201857,0.8335518693963185
35201992,0.7930169310419541
35201993,0.86050364116261
35201996,0.6315681298407464
35201997,0.6637220289756881
35201998,0.7154884205763198
35201999,0.6738696858933568
35202370,0.6473713225395403
35202371,0.6207297025281189
35202372,0.7163085471548469
35202373,0.6545420009064197
35202374,0.7249976142308787
35202375,0.6474350393140159
35202376,0.5451798189845026
35202377,0.6069614678537716
35202378,0.7213422308671219
35202379,0.7129435852622972
35202380,0.6119370485684259
35202381,0.56798776302861
35202382,0.5942087873182298
35202101,0.6602526315202407
35202102,0.7719912620026683
35202103,0.5378253887231302
35202104,0.7717163872557525
35202105,0.6927159919567634
35202106,0.6744741962040857
35202107,0.6881957510274698
35202108,0.7663203802518508
35202109,0.845346616948143
35202110,0.711081793382155
35202111,0.5258037045236115
35202112,0.7274149575389566
35202113,0.5105693596231624
35202114,0.6884747561220917
35202115,0.6522609860270395
35202116,0.6254526757265434
35202117,0.6505549009622669
35202118,0.509143053425558
35202119,0.7919182669477393
35202120,0.726007123086057
35202162,0.7471765547947238
35202163,0.7812739116863547
35202164,0.76342527251608
35202165,0.7725309121296334
35202166,0.7371985900400468
35202167,0.7395737735183403
35202168,0.7901489092875108
35202169,0.8234241325924678
35202170,0.7350339319543907
35202171,0.7287600196151687
35202172,0.75729611933577
35202173,0.5449779048854666
35202174,0.7364984694723565
35202175,0.6624184664159887
35202176,0.6454639947699299
35201317,0.36684897445095566
35202383,0.550739688205664
35202384,0.5345001156580802
35202385,0.6746807551845949
35202386,0.7514989713404415
35202387,0.6390476268358931
35202388,0.6353962972573222
35202389,0.7187342782228868
35202390,0.5908859444019324
35202391,0.48594252527014475
35202392,0.7734106890983394
35202393,0.5750987395943628
35201502,0.5040656556248204
35201503,0.4416339596169912
35201504,0.3768156176305187
35201505,0.5680314675292008
35201506,0.5001363257695947
35201507,0.6151702236295922
35201508,0.5846753592189723
35201509,0.42577423615082877
35201181,0.6287126764608366
35201182,0.8658685222186306
35201185,0.8381731935733538
35201186,0.8547818854344154
35201187,0.8069832962334138
35201188,0.8130727047931019
35201191,0.6467974015425937
35201192,0.6103062235005453
35201193,0.6221195809626381
35201194,0.7561412037414182
35201195,0.7724498157467737
35201196,0.8811248456961992
35201197,0.5748308425092012
35201198,0.8128762042919058
35201199,0.7941313966870418
35201200,0.733852707592361
35201201,0.7378044058222979
35201202,0.6688153435051736
35201203,0.6115913056916872
35201204,0.7309457332369246
35201205,0.8216284729973239
35201206,0.7062648095539742
35201209,0.7816818857173023
35201210,0.7005476091107038
35201318,0.29503288433570446
35201319,0.296972427942052
35201320,0.21785833578926717
35201321,0.44001403356738017
35201322,0.46273204248854555
35201323,0.38310874542935996
35201324,0.3853509152835696
35201325,0.33156167443840473
35201326,0.18614256404119287
35201327,0.26023296709682253
35201328,0.2245264161801817
35201329,0.2550183145680392
35201331,0.22108212500432242
35201332,0.2853591726446959
35201333,0.3333905227685209
35201334,0.4004453384139991
35201337,0.31914737605196764
35201338,0.31767652935405755
35201339,0.46462615288760284
35201347,0.4702268921537829
35201348,0.25757939882655523
35201349,0.34549744299598006
35201350,0.36380931515265397
35201351,0.40655261101527496
35201352,0.26496389652694335
35201353,0.36146636510384245
35201354,0.40452348261561644
35201355,0.5071040823501965
35201356,0.4973092076672279
35201357,0.6143998727192015
35201358,0.33126095042968196
35201654,0.5101204835710941
35201510,0.496588642512194
