,heat,tree_coverage,vulnerability,footfall,target_priority
count,3702.0,3702.0,3702.0,3702.0,3702.0
mean,13.890684169085123,0.24971501002548702,0.4760513106014008,9883.077368989736,0.6285600029818678
std,1.9705384392988747,0.13019509228178497,0.11515746501742936,14124.473704800575,0.1532186770101394
min,2.28895539922,0.002517500219664,0.0,49.8,0.0
25%,13.002970367,0.152841357645899,0.4051681365711143,3571.3149999999996,0.537832400238041
50%,14.30322748705,0.2358132346001475,0.47674128973365804,6714.949999999999,0.6474065076797102
75%,15.239068215925,0.3291701394202238,0.5490047039347545,11662.675,0.7378504065577904
max,17.0022303943,0.7386433936843,1.0,418539.60000000003,1.0
