heat,tree_coverage,vulnerability,footfall,heat_norm,tree_norm,vuln_norm,footfall_norm
12.9628750951,0.221150140645914,0.448212817190046,7623.5,0.7254618498906105,0.2970044150970398,0.448212817190046,0.5557757279767441
12.9137933819,0.317093658834615,0.400446245904415,5213.200000000001,0.7221259703385453,0.42734016206707914,0.400446245904415,0.5136334914012733
11.3796111636,0.097847740012362,0.325048833026946,14761.9,0.6178539969802672,0.12950263078509375,0.325048833026946,0.6290570230292525
10.4951973201,0.250252474580088,0.369138964948949,13678.180000000002,0.5577440728610117,0.33653886727776866,0.369138964948949,0.6206012824596502
13.116080365,0.286483796327124,0.332666342677076,5243.8,0.7358745737709996,0.3857577876672014,0.332666342677076,0.5142824516773027
13.0665016324,0.107908028641419,0.37074857787955,2235.7999999999997,0.732504913881099,0.14316916353224035,0.37074857787955,0.4197692499909118
13.8803091348,0.245764418468345,0.390503257935944,7313.0599999999995,0.787816019170175,0.33044200782534594,0.390503257935944,0.5511655565024222
14.56224542,0.168745312911863,0.463400750300627,3685.7999999999997,0.8341643872546451,0.22581438062154613,0.463400750300627,0.4751904487801553
13.9835585501,0.279576754769877,0.461877604555945,9483.539999999999,0.794833451749565,0.3763748252981718,0.461877604555945,0.5799861358197963
14.9556051341,0.111080365687282,0.412327400315488,25108.199999999997,0.860899408127397,0.14747866693923523,0.412327400315488,0.6879611667874674
14.6833296911,0.21977829484143,0.4390061148623,11980.84,0.8423939806755859,0.29514081293786654,0.4390061148623,0.6059081257932613
13.7421781261,0.268148717883736,0.456937569927452,322.3,0.7784278300181208,0.36085025675955673,0.456937569927452,0.20525226728481197
14.2682365781,0.091558657021395,0.517084810660038,13088.199999999999,0.8141818312296736,0.1209591424405024,0.517084810660038,0.615711707044412
14.3583473566,0.116944417416349,0.534648273409561,16172.300000000001,0.8203062854066078,0.15544476591921727,0.534648273409561,0.6391765941990419
14.4054730604,0.338218062647996,0.503022119423137,3723.5,0.8235092231492762,0.4560368890820158,0.503022119423137,0.47631877924417704
14.9822481453,0.192516877254638,0.469590025219956,52433.899999999994,0.8627102225931709,0.25810717802728905,0.469590025219956,0.7696255865093496
14.829918661,0.31289581054611,0.44318901865116,14374.900000000001,0.8523570222111391,0.4216375392877778,0.44318901865116,0.6261109029042613
14.7461564761,0.288888885681539,0.394568435574709,16005.4,0.846664055490405,0.3890250132542477,0.394568435574709,0.6380261545235404
14.7401661869,0.308373468891274,0.450885559036726,8920.76,0.8462569204914328,0.4154941041838294,0.450885559036726,0.5732020214791694
14.2574695533,0.272630035839724,0.424735644235823,4337.6,0.8134500414137693,0.3669379626747723,0.424735644235823,0.4932451755822111
14.9431646171,0.223074847530581,0.392362154264871,6709.3,0.8600538780190996,0.2996190587357905,0.392362154264871,0.5416104525673534
15.3844632113,0.041783464823626,0.473121205085369,114844.9,0.8900471048396115,0.05334137129608845,0.473121205085369,0.8565780936159473
14.9368798873,0.08333491784059,0.477556617945259,58570.0,0.8596267311193032,0.1097874946913663,0.477556617945259,0.7818992695523429
15.447543172,0.069403628995126,0.440584443576651,26867.5,0.8943343869519278,0.09086235027089869,0.440584443576651,0.6954717625071499
15.0980671034,0.234203227378352,0.487041637621404,4250.0,0.8705819546269111,0.31473655418944774,0.487041637621404,0.4909829712259825
15.2945332745,0.077786569879675,0.477625290308545,42394.9,0.8839349417195669,0.10225026768960815,0.477625290308545,0.7460557301239636
12.72186,0.059508476832848,0.593899143370185,7392.4,0.7090810580423922,0.07742014935101843,0.593899143370185,0.5523621436784887
10.6629024746,0.200452776023527,0.349340417139604,8382.24,0.5691422934853171,0.26888780514466715,0.349340417139604,0.566297142112898
15.5477479998,0.199560340009811,0.559789105216588,3145.4,0.9011448916039179,0.2676754635851063,0.559789105216588,0.45761183222589674
15.4890338196,0.183851099319745,0.49870734938026,6970.160000000001,0.8971543334025904,0.2463350368598227,0.49870734938026,0.5458401888611638
15.1327316401,0.071893794820871,0.425782593999091,6970.159999999999,0.8729379587600216,0.09424514912073241,0.425782593999091,0.5458401888611638
15.4888645274,0.476897901488817,0.537013439647058,1864.6799999999998,0.8971428273170958,0.6444283586282277,0.537013439647058,0.3996485820295827
14.935774227,0.164770090269764,0.508674474104315,4478.660000000001,0.8595515839953372,0.22041418660936526,0.508674474104315,0.49679366601005037
14.9394804818,0.096968188513846,0.451208622624644,8939.62,0.8598034826923464,0.1283077923663875,0.451208622624644,0.573436222151045
14.6177360566,0.135891020648682,0.51700896040278,10406.140000000001,0.8379358546280584,0.18118303080100168,0.51700896040278,0.5902814429805454
14.42011,0.158260839162771,0.475229776714739,4147.2,0.8245040349505165,0.2115716079624484,0.475229776714739,0.4882680171355588
16.55661,0.143159521574657,0.640171813425913,12005.559999999998,0.9697130384330469,0.1910570224517575,0.640171813425913,0.6061367030147355
15.6074378073,0.172876827092264,0.52293321972382,7943.5599999999995,0.9052017591279709,0.2314268909503918,0.52293321972382,0.5603362631507791
16.0918200156,0.197737174357274,0.518408270653179,4437.88,0.9381231996952117,0.26519875998219933,0.518408270653179,0.49577942283318227
15.53381,0.335943080262977,0.583918858696897,9117.92,0.9001975838288195,0.4529464090361209,0.583918858696897,0.5756262234961443
16.3203548101,0.207134507155365,0.694175554645223,7418.920000000001,0.953655757509595,0.2779646915728701,0.694175554645223,0.5527592503561566
16.2141946533,0.103369408867305,0.66274023986487,16559.3,0.9464404939577686,0.1370036152008909,0.66274023986487,0.6417991397545743
16.38799,0.121078720690457,0.815148141012531,10386.74,0.9582526395717202,0.16106106512946453,0.815148141012531,0.5900745093637485
